Unnamed: 0,Unnamed: 1,Neuro Drain #1 Type,verify,Unnamed: 4,223926.0,Neuro Drain #1 Type.1,Unnamed: 7,Unnamed: 8,0.0,Neurological,Unnamed: 11,Unnamed: 12,Unnamed: 13,metavision,Unnamed: 15,Text,Unnamed: 17
,,Neuro Drain #1 Level,verify,,223930.0,Neuro Drain #1 Level,,,0.0,Neurological,,,,metavision,,Text,
,,Neuro Drain #1 Status,verify,,223931.0,Neuro Drain #1 Status,,,0.0,Neurological,,,,metavision,,Text,
,,Neuro Drain #1 Drainage,verify,,223932.0,Neuro Drain #1 Drainage,,,0.0,Neurological,,,,metavision,,Text,
,,Neuro Waveform Appearance,verify,,224380.0,Neuro Waveform Appearance,,,0.0,Neurological,,,,metavision,,Text,
,,Neuro Drain Location,verify,,224764.0,Neuro Drain Location,,,0.0,Neurological,,,,metavision,,Text,
,,Neuro Drain HOB,verify,,224765.0,Neuro Drain Head of Bed,,,0.0,Neurological,,,,metavision,,Text,
Weight,Weight,,ignore,,581.0,Previous WeightF,,chartevents,1646896.0,,,,,carevue,,,
Weight,Weight,,ignore,,3723.0,Birth Weight    (kg),,chartevents,435395.0,,,,,carevue,,,
Weight,Weight,,ignore,,3583.0,Previous Weight (kg),,chartevents,416625.0,,,,,carevue,,,
Weight,Weight,,ignore,,3692.0,Weight Change  (gms),,chartevents,416417.0,,,,,carevue,,,
Weight,Weight,,ignore,,580.0,Previous Weight,,chartevents,146993.0,,,,,carevue,,,
Weight,Weight,,ignore,,733.0,Weight Change,,chartevents,36844.0,,,,,carevue,,,
Weight,Weight,Unintentional weight loss >10 lbs.,ignore,,225124.0,Unintentional weight loss >10 lbs.,,chartevents,29601.0,Adm History/FHPA,,,,metavision,,Checkbox,
Weight,Weight,,ignore,,4183.0,Birthweight (kg),,chartevents,8254.0,,,,,carevue,,,
Weight,Weight,Feeding Weight,ignore,,226846.0,Feeding Weight,kg,chartevents,6018.0,General,,,,metavision,,Numeric,
Heart Rate,Heart Rate,HR,ready,,211.0,Heart Rate,,chartevents,5190683.0,,,,,carevue,,,
Oxygen saturation,Pulse oximetry,SpO2,ready,,646.0,SpO2,,chartevents,3428011.0,,,,,carevue,,,
Respiratory rate,Respiratory rate,RR,ready,,618.0,Respiratory Rate,,chartevents,3395998.0,,,,,carevue,,,
Heart Rate,Heart Rate,HR,ready,,220045.0,Heart Rate,bpm,chartevents,2762225.0,Routine Vital Signs,,,,metavision,,Numeric,
Respiratory rate,Respiratory rate,RR,ready,,220210.0,Respiratory Rate,insp/min,chartevents,2737105.0,Respiratory,,,,metavision,,Numeric,
