epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.5139918923377991;0.5;0.4089352322017683;0.765339966832504;0.41358024691358025;0.8197998;nan;1.0;0.0;0.5;0.24803728207236342;0.7395395395395394;0.37445515394210815;0.3333333333333333;0.8726415;nan;1.0;0.0
1;0.45496609807014465;0.5024080276489258;0.4698058209758528;0.8036333484094678;0.49696969696969695;0.82051283;0.5;0.99864316;0.0061728396;0.5;0.3242101003952593;0.7821821821821822;0.34606680274009705;0.4444444444444444;0.8726415;nan;1.0;0.0
2;0.4167214632034302;0.6515696048736572;0.5044228939062306;0.8330234350134847;0.5398773006134969;0.87044024;0.5673077;0.93894166;0.36419752;0.615715742111206;0.37490081064945363;0.823023023023023;0.32139116525650024;0.48148148148148145;0.9010417;0.4;0.9351351;0.2962963
3;0.4033418893814087;0.6161280870437622;0.5384815274026008;0.8478734274754175;0.572289156626506;0.85714287;0.60273975;0.9606513;0.27160493;0.5948948860168457;0.38325789656298886;0.8326326326326325;0.30017486214637756;0.5517241379310345;0.895;0.5;0.96756756;0.22222222
4;0.39403852820396423;0.6944067478179932;0.5568816853111724;0.8617099686751428;0.5878787878787879;0.8854962;0.63716817;0.9443691;0.44444445;0.7295295000076294;0.4314398895217588;0.837037037037037;0.2923886179924011;0.5185185185185185;0.93048126;0.56;0.94054055;0.5185185
5;0.38033705949783325;0.6944067478179932;0.57427193523157;0.8651942308658727;0.6049382716049383;0.8854962;0.63716817;0.9443691;0.44444445;0.6897897720336914;0.40590197901140357;0.8286286286286285;0.292186975479126;0.5555555555555556;0.92021275;0.5;0.9351351;0.44444445
6;0.38425615429878235;0.7555907368659973;0.5751158693599571;0.8648508300249593;0.6111111111111112;0.9111709;0.61538464;0.9185889;0.5925926;0.7291291356086731;0.4367486319954401;0.8418418418418419;0.30607157945632935;0.5357142857142857;0.93296087;0.45454547;0.9027027;0.5555556
7;0.35935360193252563;0.6810098886489868;0.6098722897471368;0.8725815367606412;0.6272189349112426;0.8803526;0.63809526;0.9484396;0.41358024;0.7164164185523987;0.48986127123601486;0.8552552552552553;0.2829544246196747;0.5357142857142857;0.9263158;0.59090906;0.95135134;0.4814815
8;0.37904471158981323;0.6314932107925415;0.6161674942907032;0.8781345796271169;0.6296296296296297;0.86177886;0.70149255;0.97286296;0.29012346;0.6635635495185852;0.5035720151316354;0.8398398398398399;0.2818969190120697;0.5555555555555556;0.91237116;0.5555556;0.9567568;0.37037036
9;0.35174641013145447;0.7387347221374512;0.6155668525608459;0.8788213813089436;0.6234567901234568;0.9035667;0.62676054;0.9280868;0.5493827;0.7372372150421143;0.5204797830560369;0.8392392392392393;0.29953259229660034;0.5555555555555556;0.93406594;0.5;0.9189189;0.5555556
10;0.3631557524204254;0.6923044919967651;0.6381003053755439;0.8864683317419637;0.6111111111111112;0.88413095;0.6666667;0.9525102;0.43209878;0.7322322130203247;0.5499185369301469;0.8444444444444444;0.28957709670066833;0.5185185185185185;0.93085104;0.5833333;0.9459459;0.5185185
11;0.3474053144454956;0.7476212978363037;0.6396034873556349;0.8912675678844832;0.6385542168674698;0.9064559;0.65;0.93351424;0.5617284;0.7480480670928955;0.5858500887402252;0.864064064064064;0.2889472544193268;0.5555555555555556;0.9354839;0.5769231;0.94054055;0.5555556
12;0.3484513461589813;0.7559634447097778;0.6152223271520383;0.8846675712347354;0.6049382716049383;0.9119241;0.60248446;0.91316146;0.59876543;0.7291291356086731;0.6066531283894152;0.8544544544544546;0.31048664450645447;0.5555555555555556;0.93296087;0.45454547;0.9027027;0.5555556
13;0.3371557593345642;0.6998341679573059;0.6528208151491175;0.8859071645141299;0.6453488372093024;0.88664985;0.6857143;0.95522386;0.44444445;0.719119131565094;0.5155927020088094;0.8306306306306306;0.3041529655456543;0.4838709677419355;0.92670155;0.61904764;0.9567568;0.4814815
14;0.3403671383857727;0.71150141954422;0.6664151913698279;0.8936378712498115;0.6606060606060606;0.8910013;0.6909091;0.953867;0.4691358;0.7376376390457153;0.56135642886857;0.8422422422422422;0.28980112075805664;0.5185185185185185;0.93157893;0.6363636;0.9567568;0.5185185
15;0.32941335439682007;0.6905078887939453;0.6836281283507669;0.898562741846324;0.6625766871165644;0.8824257;0.73626375;0.96743554;0.41358024;0.7033032774925232;0.5403363256449861;0.8478478478478478;0.28582367300987244;0.5555555555555556;0.9222798;0.6315789;0.96216214;0.44444445
16;0.3301112651824951;0.7283573746681213;0.6825943128513892;0.8991992897465535;0.6441717791411042;0.8980645;0.66935486;0.9443691;0.5123457;0.7480480670928955;0.5562344746661932;0.851051051051051;0.2858433425426483;0.5555555555555556;0.9354839;0.5769231;0.94054055;0.5555556
17;0.31474894285202026;0.682911217212677;0.7039896853520603;0.9042414191667923;0.6380368098159509;0.8791209;0.7875;0.97693354;0.3888889;0.7033032774925232;0.510951078993957;0.8434434434434435;0.2943479120731354;0.5333333333333333;0.9222798;0.6315789;0.96216214;0.44444445
18;0.3380272388458252;0.7540328502655029;0.6809646228196823;0.9013602023552273;0.6524390243902439;0.90697676;0.72;0.9525102;0.5555556;0.7665665745735168;0.5826988429080712;0.8374374374374374;0.3106449544429779;0.5925925925925926;0.94054055;0.5925926;0.94054055;0.5925926
19;0.31816646456718445;0.7812662124633789;0.691301711575158;0.903663500678426;0.6604938271604939;0.9204852;0.656051;0.92673;0.63580245;0.7476476430892944;0.6083550172603447;0.8554554554554554;0.3124643862247467;0.5357142857142857;0.93820226;0.47058824;0.9027027;0.5925926
20;0.3210870027542114;0.7702103853225708;0.7064968755147341;0.9082533460642913;0.6728395061728395;0.914361;0.69285715;0.94165534;0.59876543;0.7214214205741882;0.6201302500606023;0.8532532532532533;0.30880457162857056;0.5185185185185185;0.9293478;0.5;0.92432433;0.5185185
21;0.31381937861442566;0.7897800207138062;0.7168628211435732;0.9088815183342547;0.6975308641975309;0.92256343;0.6933333;0.9375848;0.6419753;0.7399399280548096;0.611955364185561;0.851051051051051;0.30626022815704346;0.5555555555555556;0.93442625;0.51724136;0.92432433;0.5555556
22;0.3189980387687683;0.802498459815979;0.722983016900897;0.910640400690152;0.6848484848484848;0.9283784;0.6855346;0.9321574;0.6728395;0.7611611485481262;0.5753266416529856;0.8550550550550551;0.30274081230163574;0.5925925925925926;0.9398907;0.55172414;0.9297297;0.5925926
23;0.3090081214904785;0.8082985877990723;0.7444283156008187;0.9198787208737457;0.6975308641975309;0.9300135;0.7051282;0.9375848;0.67901236;0.7426426410675049;0.5553212724964653;0.8562562562562562;0.29515540599823;0.5555555555555556;0.9347826;0.53571427;0.9297297;0.5555556
24;0.3119296729564667;0.7852697372436523;0.7451355351495679;0.9206660301187664;0.6845238095238095;0.91963106;0.7214286;0.94708276;0.6234568;0.7453453540802002;0.5718696233818784;0.8468468468468469;0.3104626536369324;0.5555555555555556;0.9351351;0.5555556;0.9351351;0.5555556
25;0.32285818457603455;0.7632251381874084;0.7703801272785117;0.9278355696266144;0.7098765432098766;0.90920717;0.7777778;0.96472186;0.5617284;0.6924924850463867;0.5326589985817756;0.849049049049049;0.2907159626483917;0.5357142857142857;0.9206349;0.5217391;0.94054055;0.44444445
26;0.298290491104126;0.7794696092605591;0.7244614940451803;0.9195436956630988;0.6867469879518072;0.91798943;0.6993007;0.94165534;0.61728394;0.7268267869949341;0.5792761501374238;0.8544544544544544;0.30030643939971924;0.5357142857142857;0.93010753;0.53846157;0.9351351;0.5185185
27;0.3082588016986847;0.8010746240615845;0.726063592416482;0.9153726317905422;0.691358024691358;0.92656875;0.7133333;0.94165534;0.66049385;0.7372372150421143;0.5940716217651276;0.8434434434434435;0.3106769919395447;0.5185185185185185;0.93406594;0.5;0.9189189;0.5555556
28;0.3152413070201874;0.775570809841156;0.7656947393839716;0.9236477544935254;0.6987951807228916;0.9138817;0.78512394;0.96472186;0.58641976;0.7322322130203247;0.6094852294524917;0.8492492492492492;0.29358217120170593;0.5666666666666667;0.93085104;0.5833333;0.9459459;0.5185185
29;0.30025714635849;0.8213226795196533;0.7543791470708218;0.9234969931487343;0.7055214723926381;0.9351351;0.7169811;0.93894166;0.7037037;0.7688688635826111;0.6436179227696484;0.8608608608608608;0.31247222423553467;0.5555555555555556;0.94382024;0.5;0.9081081;0.6296296
30;0.30445021390914917;0.8185420036315918;0.7774813104666404;0.9241921704608271;0.7222222222222222;0.9330656;0.7368421;0.9457259;0.69135803;0.7345345616340637;0.6107083522858117;0.8446446446446446;0.3217100203037262;0.5185185185185185;0.93370163;0.48387095;0.91351354;0.5555556
31;0.30036014318466187;0.8248487710952759;0.7656651519305541;0.9274419150041041;0.6975308641975309;0.93914247;0.67045456;0.92130256;0.72839504;0.7476476430892944;0.6368266568501972;0.8516516516516517;0.3217248320579529;0.5555555555555556;0.93820226;0.47058824;0.9027027;0.5925926
32;0.2930557429790497;0.8113850355148315;0.7652361709670494;0.9301974973616765;0.7073170731707317;0.93126684;0.7070064;0.9375848;0.6851852;0.7480480670928955;0.6572763839304407;0.871071071071071;0.28702130913734436;0.5555555555555556;0.9354839;0.5769231;0.94054055;0.5555556
