epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.4787887632846832;0.5845016241073608;0.4347715826909156;0.7661469556766805;0.4171779141104294;0.8471721;0.52307695;0.95782316;0.21118012;0.6399286985397339;0.4629943153557738;0.7544068132303425;0.32793569564819336;0.4444444444444444;0.9076923;0.47368422;0.9465241;0.33333334
1;0.4385680556297302;0.5;0.4589527905282973;0.793670511682934;0.45930232558139533;0.8203125;nan;1.0;0.0;0.5185185074806213;0.47117192378455847;0.7954050306991483;0.3543100357055664;0.48148148148148145;0.8779343;1.0;1.0;0.037037037
2;0.43755683302879333;0.5570541024208069;0.4870399979822953;0.803625301052098;0.4720496894409938;0.83777523;0.6363636;0.98367345;0.13043478;0.6428005695343018;0.5084629503629016;0.7847098435333729;0.3394816815853119;0.4444444444444444;0.90686274;0.8;0.98930484;0.2962963
3;0.4073171317577362;0.6050872206687927;0.520638981877213;0.8206785819918029;0.5182926829268293;0.8533969;0.6666667;0.97414964;0.23602484;0.6876609325408936;0.4693933344932212;0.8033273915626856;0.31004810333251953;0.42857142857142855;0.9187817;0.64705884;0.96791446;0.4074074
4;0.3993540108203888;0.6366163492202759;0.5355059790524278;0.8227489753665442;0.546583850931677;0.86469865;0.61445785;0.95646256;0.3167702;0.6769657135009766;0.4359259162507553;0.7967914438502673;0.3098369538784027;0.4444444444444444;0.91709846;0.52380955;0.9465241;0.4074074
5;0.40686139464378357;0.5411416888237;0.5127997999770693;0.8045210630836186;0.5426829268292683;0.8327606;0.65217394;0.98911566;0.0931677;0.5528817772865295;0.4731540313667006;0.765102000396118;0.32513538002967834;0.45161290322580644;0.8857143;0.75;0.9946524;0.11111111
6;0.4074636995792389;0.5894705653190613;0.5557096690375495;0.8309460430134787;0.572289156626506;0.8479532;0.75609756;0.9863946;0.19254659;0.6057635545730591;0.5089329273378378;0.8209546444840562;0.2981508672237396;0.48148148148148145;0.89805824;0.75;0.98930484;0.22222222
7;0.3928966522216797;0.6455486416816711;0.5564712169862734;0.8272277855241474;0.5652173913043478;0.8674847;0.654321;0.96190476;0.32919255;0.6718161702156067;0.49358699109687204;0.773816597346009;0.33328667283058167;0.4444444444444444;0.91457283;0.6666667;0.973262;0.37037036
8;0.4003288149833679;0.642443060874939;0.5491029505485536;0.8340981112942071;0.5389221556886228;0.8664216;0.65;0.96190476;0.32298136;0.6426025032997131;0.43649254748797117;0.7649039413745297;0.3181471824645996;0.48148148148148145;0.90816325;0.5;0.95187163;0.33333334
9;0.3902110457420349;0.6607808470726013;0.5711288421588419;0.8398360586470612;0.5652173913043478;0.8731343;0.6413044;0.955102;0.36645964;0.6584472060203552;0.47111461415147166;0.7611408199643493;0.3540087938308716;0.48148148148148145;0.91237116;0.5;0.9465241;0.37037036
10;0.3934047222137451;0.6288672089576721;0.5772234382440854;0.8292981788988886;0.5590062111801242;0.86107785;0.73770493;0.9782313;0.2795031;0.6428005695343018;0.5339379664935083;0.7694592988710636;0.3236125409603119;0.42105263157894735;0.90686274;0.8;0.98930484;0.2962963
11;0.39212766289711;0.6637977361679077;0.5841850454073901;0.8472979253813325;0.5555555555555556;0.87346435;0.70731705;0.96734697;0.36024845;0.6691424250602722;0.5020517432826185;0.7775797187561893;0.3307458162307739;0.4444444444444444;0.9141414;0.625;0.96791446;0.37037036
12;0.38249582052230835;0.6350783705711365;0.5776124691383893;0.8315206828072843;0.5679012345679012;0.86314523;0.74603176;0.9782313;0.29192546;0.6639928817749023;0.5826405270557502;0.7825311942959001;0.3303082287311554;0.5185185185185185;0.9117647;0.9;0.9946524;0.33333334
13;0.3849612772464752;0.6617568731307983;0.5795687213065586;0.8433599526767228;0.546583850931677;0.87299633;0.68235296;0.9632653;0.36024845;0.6823133230209351;0.5465813318806396;0.7817389582095464;0.321905255317688;0.48148148148148145;0.9179487;0.57894737;0.95721924;0.4074074
14;0.383760541677475;0.6652469635009766;0.5936295427365457;0.8451388008619597;0.546583850931677;0.8745342;0.6593407;0.95782316;0.3726708;0.6823133230209351;0.5555441611224294;0.750049514755397;0.3226955533027649;0.45161290322580644;0.9179487;0.57894737;0.95721924;0.4074074
15;0.38443201780319214;0.6215912103652954;0.5744169391163746;0.8286052309122407;0.5476190476190477;0.8585018;0.76363635;0.9823129;0.26086956;0.6586452722549438;0.5045544763929317;0.7227173697761933;0.32651805877685547;0.4411764705882353;0.9108911;0.75;0.98395723;0.33333334
16;0.3781008720397949;0.6660159826278687;0.5953016374001235;0.8406980183377699;0.5652173913043478;0.8754717;0.6138614;0.94693875;0.38509318;0.6611210107803345;0.5283502096095612;0.7427213309566252;0.3284870386123657;0.48148148148148145;0.9128205;0.5263158;0.95187163;0.37037036
17;0.40029916167259216;0.6628216505050659;0.5963500615020493;0.8577090463514598;0.5617977528089888;0.87360597;0.66292137;0.9591837;0.36645964;0.6611210107803345;0.517717514559938;0.7841156664686078;0.3222387731075287;0.45454545454545453;0.9128205;0.5263158;0.95187163;0.37037036
