epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.5568251609802246;0.81868744;0.4228629422453343;0.7600130659832154;0.4303030303030303;0.8203125;0.33333334;0.9972863;0.0061728396;0.8632075;0.3176698166503565;0.7055055055055055;0.3532068729400635;0.4074074074074074;0.87142855;0.0;0.9891892;0.0
1;0.4961731433868408;0.83314794;0.4991805537309115;0.825108464411947;0.5089820359281437;0.868256;0.5588235;0.93894166;0.35185185;0.8773585;0.3496260001156392;0.7923923923923923;0.3315521478652954;0.4482758620689655;0.9206349;0.5217391;0.94054055;0.44444445
2;0.44759899377822876;0.84760845;0.5472554303968682;0.8420607400706904;0.5696969696969697;0.8916449;0.59398496;0.92673;0.48765433;0.8537736;0.3987992283198869;0.8284284284284285;0.3248880207538605;0.45454545454545453;0.9230769;0.43333334;0.9081081;0.4814815
3;0.4221709966659546;0.8353726;0.5547501019404244;0.8546074342094242;0.5370370370370371;0.8985115;0.54375;0.9009498;0.537037;0.8396226;0.40716942244024784;0.838038038038038;0.33426767587661743;0.48148148148148145;0.93142855;0.4054054;0.8810811;0.5555556
4;0.39081045985221863;0.8698554;0.6190561650134113;0.8725647855001089;0.654320987654321;0.8984576;0.6859504;0.9484396;0.5123457;0.8632075;0.4393343276050321;0.832032032032032;0.30176323652267456;0.45161290322580644;0.91935486;0.46153846;0.92432433;0.44444445
5;0.3739558160305023;0.8743048;0.6462403807777055;0.8757475250012564;0.6358024691358025;0.916;0.66442955;0.9321574;0.6111111;0.8537736;0.5332528846135628;0.8288288288288288;0.30875644087791443;0.4482758620689655;0.92777777;0.4375;0.9027027;0.5185185
6;0.3581492304801941;0.84983313;0.6487354572961235;0.8805174464378445;0.6358024691358025;0.85081583;0.8292683;0.99050206;0.20987654;0.8867925;0.4683367783058395;0.8166166166166166;0.31656011939048767;0.5185185185185185;0.9045226;0.61538464;0.972973;0.2962963
7;0.33542490005493164;0.89098996;0.7055262181293042;0.8901536090590817;0.6851851851851852;0.9220608;0.7253521;0.94708276;0.63580245;0.8679245;0.5358172818585969;0.8414414414414414;0.30114611983299255;0.5185185185185185;0.92896175;0.4827586;0.9189189;0.5185185
8;0.3076658546924591;0.8754171;0.6994760573084241;0.8906980250263833;0.6851851851851852;0.88916564;0.7604167;0.9687924;0.45061728;0.8726415;0.5506719662263756;0.8196196196196196;0.30965375900268555;0.48148148148148145;0.9157895;0.5;0.94054055;0.4074074
9;0.3082337975502014;0.8887653;0.7402468897614936;0.9052339313533342;0.6975308641975309;0.9263722;0.70394737;0.93894166;0.66049385;0.8679245;0.5702863012993623;0.8386386386386386;0.31497424840927124;0.5161290322580645;0.92896175;0.4827586;0.9189189;0.5185185
10;0.2914682626724243;0.8865406;0.7482315339669557;0.9081277116102986;0.7160493827160493;0.9054917;0.7586207;0.9620081;0.54320985;0.8726415;0.5203670526873421;0.8256256256256256;0.31516730785369873;0.5333333333333333;0.92021275;0.5;0.9351351;0.44444445
11;0.27851396799087524;0.8898776;0.7487589116890856;0.911595222540496;0.6932515337423313;0.9346049;0.6909091;0.93080056;0.7037037;0.8490566;0.542588527416743;0.8364364364364364;0.3493555784225464;0.48148148148148145;0.92265195;0.41935483;0.9027027;0.4814815
12;0.2689662277698517;0.90656286;0.7712105835072712;0.9150041040588305;0.7055214723926381;0.9159236;0.84210527;0.97557664;0.5925926;0.8773585;0.5608057509317885;0.8242242242242241;0.30205515027046204;0.5;0.9251337;0.52;0.9351351;0.4814815
13;0.2609216570854187;0.9054505;0.7898459820620211;0.9222909023904049;0.7300613496932515;0.93236077;0.76551723;0.953867;0.6851852;0.8443396;0.5378114640295588;0.8434434434434435;0.33385083079338074;0.4594594594594595;0.9269663;0.4117647;0.8918919;0.5185185
14;0.2702281177043915;0.89432704;0.7877126471850325;0.9239618406285073;0.7283950617283951;0.89727724;0.8681319;0.9837178;0.48765433;0.8820755;0.5391497714564855;0.8276276276276275;0.30148211121559143;0.5172413793103449;0.9166667;0.55;0.95135134;0.4074074
15;0.2523699700832367;0.9032258;0.7804500487163892;0.9227599376853108;0.7337278106508875;0.9177378;0.80991733;0.9687924;0.60493827;0.8679245;0.5046162947714504;0.8264264264264265;0.3224473297595978;0.5;0.9197861;0.48;0.9297297;0.44444445
16;0.23636449873447418;0.89432704;0.7674136041564859;0.9196274519657605;0.691358024691358;0.905303;0.8130841;0.97286296;0.537037;0.8726415;0.5190917562452508;0.8094094094094093;0.3276342451572418;0.48148148148148145;0.92021275;0.5;0.9351351;0.44444445
17;0.24249331653118134;0.91434926;0.8201749568033332;0.9318139940030488;0.7469135802469136;0.9308094;0.81954885;0.96743554;0.6728395;0.8773585;0.5403165328765164;0.8388388388388388;0.33310753107070923;0.5185185185185185;0.93442625;0.51724136;0.92432433;0.5555556
18;0.23477856814861298;0.91768634;0.8221675761013696;0.9329447040889828;0.7345679012345679;0.9233717;0.87931037;0.98100406;0.6296296;0.8773585;0.49647655410521047;0.8062062062062062;0.33833950757980347;0.48148148148148145;0.9251337;0.52;0.9351351;0.4814815
19;0.22189462184906006;0.919911;0.838408770653041;0.9374089150208552;0.7592592592592593;0.942743;0.8040541;0.9606513;0.7345679;0.8773585;0.5616702506930846;0.8468468468468469;0.3348543047904968;0.53125;0.9392265;0.516129;0.9189189;0.5925926
20;0.21500761806964874;0.91657394;0.8279141279839886;0.9343936881250313;0.774390243902439;0.9378307;0.8041958;0.9620081;0.70987654;0.8820755;0.5438890668520049;0.8402402402402402;0.3322758078575134;0.5333333333333333;0.9395604;0.53333336;0.92432433;0.5925926
21;0.21620172262191772;0.9187987;0.8451388609955076;0.9401477461178953;0.7777777777777778;0.92455244;0.8803419;0.98100406;0.63580245;0.8726415;0.5304104539814207;0.8252252252252252;0.335147500038147;0.48148148148148145;0.92021275;0.5;0.9351351;0.44444445
22;0.21340669691562653;0.92547274;0.8474029117248033;0.9413789637670236;0.7901234567901234;0.93619794;0.86259544;0.97557664;0.69753087;0.8773585;0.5448321752756908;0.8384384384384385;0.3217863440513611;0.5925925925925926;0.9392265;0.516129;0.9189189;0.5925926
23;0.19403675198554993;0.92880976;0.8587758026018825;0.9451396217565373;0.803680981595092;0.9353169;0.8888889;0.98100406;0.69135803;0.8726415;0.49161325710189085;0.8314314314314314;0.34293118119239807;0.4827586206896552;0.92021275;0.5;0.9351351;0.44444445
24;0.19960802793502808;0.9354839;0.8684878656751969;0.9475183007521316;0.8148148148148148;0.94612354;0.8768116;0.97693354;0.74691355;0.8679245;0.507169440428439;0.8376376376376377;0.3386438190937042;0.5;0.92896175;0.4827586;0.9189189;0.5185185
25;0.18886588513851166;0.9410456;0.8752273853342658;0.947066016717758;0.8098159509202454;0.95;0.8920863;0.9796472;0.7654321;0.8820755;0.5461119877772554;0.8358358358358358;0.334553986787796;0.5555555555555556;0.9347826;0.53571427;0.9297297;0.5555556
26;0.19034472107887268;0.92992216;0.8760180302290271;0.9504916494966246;0.8220858895705522;0.93427837;0.902439;0.9837178;0.6851852;0.8820755;0.5444900043903778;0.8426426426426427;0.34042230248451233;0.5;0.9255319;0.5416667;0.94054055;0.4814815
27;0.18972979485988617;0.90878755;0.8245455687588139;0.9381710973750774;0.7222222222222222;0.9360852;0.7702703;0.953867;0.7037037;0.8301887;0.5033461788131091;0.8198198198198198;0.4041490852832794;0.4444444444444444;0.9162011;0.36363637;0.8864865;0.44444445
28;0.18889743089675903;0.9365962;0.8868760533733936;0.9529038310132837;0.8148148148148148;0.9485488;0.87234044;0.97557664;0.7592593;0.8632075;0.5231981717643809;0.844044044044044;0.3438187837600708;0.4838709677419355;0.9285714;0.46666667;0.91351354;0.5185185
29;0.18506203591823578;0.93214685;0.8890528543502548;0.9525520545421042;0.8343558282208589;0.94125324;0.87969923;0.9782904;0.7222222;0.8820755;0.49721650234947357;0.8278278278278278;0.36337000131607056;0.5555555555555556;0.93010753;0.53846157;0.9351351;0.5185185
30;0.17651206254959106;0.9276974;0.8897060477416625;0.951170075548185;0.8395061728395061;0.96796656;0.7679558;0.94301224;0.8580247;0.8537736;0.4928238327093302;0.8346346346346346;0.42520228028297424;0.5185185185185185;0.9375;0.44444445;0.8918919;0.5925926
31;0.16573472321033478;0.93437153;0.8935373016888398;0.9563378394224163;0.8271604938271605;0.9335038;0.94017094;0.99050206;0.67901236;0.8820755;0.49370699725416417;0.827027027027027;0.3501740097999573;0.48148148148148145;0.9166667;0.55;0.95135134;0.4074074
32;0.1723533272743225;0.94660735;0.9090038970902918;0.9589845385865287;0.8343558282208589;0.9526938;0.9130435;0.9837178;0.7777778;0.8726415;0.49677847051273877;0.8348348348348349;0.36558258533477783;0.5555555555555556;0.93406594;0.5;0.9189189;0.5555556
33;0.17470750212669373;0.93993324;0.8829395658591315;0.9535403789135132;0.8209876543209876;0.9452412;0.90909094;0.9837178;0.7407407;0.8726415;0.44788014465122644;0.8262262262262262;0.3866237998008728;0.48148148148148145;0.92021275;0.5;0.9351351;0.44444445
34;0.16553471982479095;0.9566185;0.9228379907750792;0.9614804764058495;0.8641975308641975;0.96042216;0.9361702;0.9877883;0.8148148;0.8867925;0.49482011554997557;0.8338338338338338;0.3604302406311035;0.5714285714285714;0.9398907;0.55172414;0.9297297;0.5925926
35;0.15715309977531433;0.9566185;0.9183719150183121;0.9606177864884331;0.8765432098765432;0.97289973;0.8819876;0.9742198;0.8765432;0.8584906;0.47872705621331424;0.8394394394394393;0.38443049788475037;0.5555555555555556;0.9378531;0.45714286;0.8972973;0.5925926
