epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.5350624322891235;0.8197998;0.35585949437254455;0.7048386016047709;0.40350877192982454;0.8197998;nan;1.0;0.0;0.8726415;0.19126748292283585;0.6908908908908908;0.3887835144996643;0.23404255319148937;0.8726415;nan;1.0;0.0
1;0.4612448215484619;0.82202446;0.44356084935225293;0.7687907265021693;0.43209876543209874;0.8216277;1.0;1.0;0.012345679;0.8679245;0.27492638968268157;0.7493493493493494;0.36551377177238464;0.3191489361702128;0.8720379;0.0;0.9945946;0.0
2;0.42190253734588623;0.83314794;0.5347687554316551;0.8324873946764494;0.5679012345679012;0.85404104;0.5857143;0.9606513;0.25308642;0.8584906;0.35078324067818806;0.8344344344344343;0.32113662362098694;0.42105263157894735;0.893401;0.4;0.95135134;0.22222222
3;0.3905088007450104;0.8342603;0.5742400798736327;0.8541635258053167;0.588957055214724;0.84588236;0.63265306;0.97557664;0.19135803;0.8726415;0.40540011371709705;0.849049049049049;0.3181167244911194;0.45161290322580644;0.895;0.5;0.96756756;0.22222222
4;0.3642195165157318;0.84204674;0.5879159725319111;0.8541383989145183;0.6296296296296297;0.9184247;0.5531915;0.8860244;0.6419753;0.8113208;0.42049087550820013;0.8378378378378378;0.33406662940979004;0.4444444444444444;0.9142857;0.3243243;0.8648649;0.44444445
5;0.35873061418533325;0.8698554;0.6101523575079032;0.865252860277736;0.6296296296296297;0.894402;0.69911504;0.953867;0.48765433;0.8632075;0.43354103380920367;0.8448448448448449;0.3113221526145935;0.42857142857142855;0.91052634;0.45454547;0.9351351;0.37037036
6;0.3569831848144531;0.8631813;0.6264624245449943;0.8691056502001775;0.6419753086419753;0.8771499;0.7294118;0.9687924;0.38271606;0.8915094;0.43877471807402935;0.8416416416416417;0.3042219579219818;0.5;0.9132653;0.625;0.96756756;0.37037036
7;0.32619819045066833;0.87986654;0.6593453375066347;0.877481280466355;0.654320987654321;0.9037227;0.725;0.95522386;0.537037;0.8679245;0.4447059729086046;0.8502502502502503;0.30880048871040344;0.4666666666666667;0.91099477;0.47619048;0.94054055;0.37037036
8;0.33958497643470764;0.88320357;0.6743450443132637;0.878603614922023;0.6728395061728395;0.90932643;0.72440946;0.9525102;0.56790125;0.8632075;0.43733537876923084;0.8278278278278278;0.32415881752967834;0.4444444444444444;0.9148936;0.45833334;0.9297297;0.4074074
9;0.3405452370643616;0.8698554;0.6824102387277172;0.8917282275491231;0.6503067484662577;0.9305556;0.6256983;0.90909094;0.69135803;0.8443396;0.49819618864474857;0.8492492492492494;0.3141176402568817;0.4642857142857143;0.94186044;0.425;0.8756757;0.6296296
10;0.3297405242919922;0.8743048;0.691633278911806;0.8977251788197064;0.6790123456790124;0.89097744;0.7425743;0.96472186;0.46296296;0.8632075;0.46066162835247293;0.842042042042042;0.3172193169593811;0.45454545454545453;0.91052634;0.45454547;0.9351351;0.37037036
11;0.33332526683807373;0.88320357;0.7090136151680522;0.9036467494178937;0.6890243902439024;0.9030612;0.7478261;0.9606513;0.5308642;0.8679245;0.4733770977566003;0.8424424424424425;0.3096604645252228;0.46875;0.91534394;0.47826087;0.9351351;0.4074074
12;0.3086630403995514;0.8820912;0.6900655789678086;0.8984454830225975;0.6727272727272727;0.8988622;0.7592593;0.96472186;0.50617284;0.8679245;0.4718438242319346;0.8398398398398399;0.31564220786094666;0.48148148148148145;0.91099477;0.47619048;0.94054055;0.37037036
13;0.3191777169704437;0.89210236;0.7383632667645723;0.910975425900799;0.6932515337423313;0.9177546;0.7443609;0.953867;0.6111111;0.8679245;0.5478827104723054;0.8584584584584585;0.3035990297794342;0.48148148148148145;0.92432433;0.4814815;0.92432433;0.4814815
14;0.31261971592903137;0.89210236;0.7434008922948844;0.9174916662478851;0.6993865030674846;0.9221636;0.73049647;0.9484396;0.63580245;0.8584906;0.5606587286221316;0.849049049049049;0.3126491606235504;0.48148148148148145;0.92349726;0.44827586;0.91351354;0.4814815
15;0.3006170094013214;0.8898776;0.7562730734788548;0.9205068931437089;0.7283950617283951;0.90585244;0.7787611;0.9660787;0.54320985;0.8679245;0.5456100323280804;0.8372372372372372;0.31418395042419434;0.48148148148148145;0.91534394;0.47826087;0.9351351;0.4074074
16;0.2924003005027771;0.88542825;0.7529099111424873;0.9222490242390741;0.7037037037037037;0.9012658;0.7706422;0.9660787;0.5185185;0.8679245;0.5534140144089508;0.842042042042042;0.32689419388771057;0.48148148148148145;0.91534394;0.47826087;0.9351351;0.4074074
17;0.286553293466568;0.8887653;0.7696745887841533;0.9244936931504095;0.7023809523809523;0.91963106;0.7214286;0.94708276;0.6234568;0.8773585;0.5695847999232342;0.8534534534534535;0.30027756094932556;0.5185185185185185;0.93442625;0.51724136;0.92432433;0.5555556
18;0.29545629024505615;0.89766407;0.773161104178799;0.9259175502956597;0.7345679012345679;0.92156863;0.76119405;0.95658076;0.6296296;0.8867925;0.5920751901688304;0.8558558558558558;0.2962344288825989;0.5555555555555556;0.9351351;0.5555556;0.9351351;0.5555556
19;0.2962179183959961;0.8965517;0.7887784396432603;0.92876526458616;0.7289156626506024;0.9160207;0.776;0.9620081;0.59876543;0.8632075;0.558201124096257;0.8422422422422422;0.3168734312057495;0.4827586206896552;0.91935486;0.46153846;0.92432433;0.44444445
20;0.27592653036117554;0.9121246;0.8186139243202553;0.9381710973750775;0.754601226993865;0.93866664;0.7785235;0.95522386;0.7160494;0.8584906;0.5809263006317487;0.852052052052052;0.3110940456390381;0.5555555555555556;0.93296087;0.45454547;0.9027027;0.5555556
21;0.2719840109348297;0.9076752;0.8134579702182486;0.9349129772015344;0.7484662576687117;0.94550407;0.73939395;0.94165534;0.75308645;0.8537736;0.5555597033191748;0.8548548548548548;0.3221033215522766;0.5555555555555556;0.9425287;0.4473684;0.8864865;0.6296296
22;0.27254706621170044;0.9154616;0.850757556790734;0.9437241402415532;0.7839506172839507;0.95212036;0.75595236;0.9443691;0.7839506;0.8443396;0.5198640569835933;0.8452452452452452;0.33108413219451904;0.5555555555555556;0.9318182;0.41666666;0.8864865;0.5555556
23;0.27962881326675415;0.91101223;0.8265959488081365;0.9431127192321221;0.7607361963190185;0.92717814;0.8153846;0.96743554;0.654321;0.8726415;0.5617888455739765;0.8348348348348348;0.312067449092865;0.5185185185185185;0.9293478;0.5;0.92432433;0.5185185
24;0.26629334688186646;0.91434926;0.8568313286620052;0.9477946965509155;0.7668711656441718;0.9435484;0.7741935;0.9525102;0.7407407;0.8490566;0.5307738818816283;0.8444444444444444;0.3336522579193115;0.5185185185185185;0.9322034;0.42857143;0.8918919;0.5555556
25;0.26119962334632874;0.919911;0.8602435017799575;0.95131246126271;0.7926829268292683;0.9346405;0.8358209;0.9701493;0.69135803;0.8726415;0.5220601909450797;0.8336336336336336;0.3247970938682556;0.5185185185185185;0.9293478;0.5;0.92432433;0.5185185
26;0.2375742644071579;0.91434926;0.830337217855391;0.9408345477997219;0.7716049382716049;0.9308094;0.81954885;0.96743554;0.6728395;0.8679245;0.5635833584093739;0.8368368368368369;0.3263518810272217;0.48148148148148145;0.92432433;0.4814815;0.92432433;0.4814815
