epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.49116843938827515;0.81868744;0.4290501918581293;0.7413437861199055;0.4444444444444444;0.8195991;0.0;0.99864316;0.0;0.8679245;0.3128009966725522;0.7293293293293294;0.3668689727783203;0.39285714285714285;0.8720379;0.0;0.9945946;0.0
1;0.4290817677974701;0.83314794;0.5145212530707485;0.8231653181901939;0.5060240963855421;0.8354286;0.75;0.9918589;0.11111111;0.8632075;0.34609614168246006;0.8058058058058059;0.32312360405921936;0.42857142857142855;0.8786408;0.33333334;0.97837836;0.074074075
2;0.38781532645225525;0.83870965;0.5627793194002996;0.8527229173995343;0.5487804878048781;0.8418014;0.75757575;0.98914516;0.15432099;0.8773585;0.38591801986038926;0.8134134134134133;0.3193378150463104;0.4444444444444444;0.89162564;0.5555556;0.97837836;0.18518518
3;0.36917632818222046;0.8520578;0.6062822428311386;0.8718947350788148;0.5802469135802469;0.86038184;0.73770493;0.9782904;0.2777778;0.8632075;0.4139304390195031;0.8290290290290291;0.3012874722480774;0.5555555555555556;0.8979592;0.4375;0.95135134;0.25925925
4;0.35857680439949036;0.86429363;0.6199264134176601;0.8736284905439134;0.6172839506172839;0.90945405;0.6351351;0.92673;0.5802469;0.8726415;0.4333560152694157;0.8306306306306306;0.31482994556427;0.5555555555555556;0.93406594;0.5;0.9189189;0.5555556
5;0.3442734479904175;0.8731924;0.6519828732876375;0.8850863527480441;0.6358024691358025;0.90297544;0.6904762;0.94708276;0.537037;0.8915094;0.4593793096342075;0.8494494494494494;0.29776227474212646;0.5714285714285714;0.9402174;0.5714286;0.9351351;0.5925926
6;0.33748000860214233;0.8743048;0.6649107128129459;0.8912340653634186;0.6484848484848484;0.908377;0.6814815;0.94165534;0.56790125;0.8726415;0.4578495251688166;0.8386386386386386;0.3091958463191986;0.5555555555555556;0.93406594;0.5;0.9189189;0.5555556
7;0.33959564566612244;0.8754171;0.6785423773820219;0.8945173124277601;0.6385542168674698;0.9194631;0.66233766;0.9294437;0.6296296;0.8820755;0.5087182152494584;0.8508508508508508;0.31455129384994507;0.5714285714285714;0.9444444;0.53125;0.9189189;0.6296296
8;0.327862948179245;0.87986654;0.700120296065707;0.903286597316448;0.6728395061728395;0.9121887;0.6985294;0.9443691;0.58641976;0.8867925;0.5109980450449332;0.8338338338338338;0.2950434684753418;0.6296296296296297;0.9447514;0.5483871;0.92432433;0.6296296
9;0.31833159923553467;0.8865406;0.7182611328192078;0.9155401443958657;0.691358024691358;0.91831356;0.71428573;0.9457259;0.61728394;0.8726415;0.4932595664367546;0.8336336336336336;0.3004855513572693;0.5517241379310345;0.9247312;0.5;0.9297297;0.4814815
10;0.3007334768772125;0.8787542;0.7209988287982626;0.9180277065849206;0.6666666666666666;0.9254742;0.66459626;0.92673;0.66049385;0.8820755;0.561724418225303;0.8366366366366367;0.3135778605937958;0.6071428571428571;0.9444444;0.53125;0.9189189;0.6296296
11;0.3090095520019531;0.8954394;0.7364215367827168;0.9195436956630987;0.6975308641975309;0.91165173;0.7881356;0.9660787;0.5740741;0.8867925;0.5313630550158105;0.8354354354354354;0.31081223487854004;0.5185185185185185;0.9259259;0.5652174;0.9459459;0.4814815
12;0.29319486021995544;0.8843159;0.7458440009390654;0.9250297334874449;0.6829268292682927;0.9159001;0.71014494;0.9457259;0.60493827;0.8915094;0.5543213297778203;0.8302302302302302;0.3163670301437378;0.5925925925925926;0.9402174;0.5714286;0.9351351;0.5925926
13;0.2945815324783325;0.8932147;0.7591841816866967;0.9280198334924702;0.7;0.9114249;0.775;0.963365;0.5740741;0.8820755;0.5293508519726978;0.8394394394394394;0.30001506209373474;0.5185185185185185;0.93010753;0.53846157;0.9351351;0.5185185
14;0.2940978407859802;0.8965517;0.7694035319251001;0.9309764309764309;0.7098765432098766;0.9192708;0.7633588;0.9579376;0.61728394;0.8962264;0.5784104885423901;0.8402402402402402;0.30293676257133484;0.6296296296296297;0.9453552;0.5862069;0.9351351;0.6296296
15;0.2766399085521698;0.9010011;0.7721722023382696;0.9284888687873762;0.7098765432098766;0.9132653;0.8173913;0.9715061;0.5802469;0.8820755;0.5242560425762214;0.8196196196196196;0.34401872754096985;0.4838709677419355;0.92105263;0.54545456;0.9459459;0.44444445
