epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.1305922120809555;0.5;0.4057267879084463;0.7794110256796823;0.4506172839506173;0.8197998;nan;1.0;0.0;0.5;0.3095599473673426;0.7443443443443443;0.10000723600387573;0.3548387096774194;0.8726415;nan;1.0;0.0
1;0.11226698011159897;0.5690863728523254;0.47092758973943805;0.8203343551602258;0.48823529411764705;0.84136313;0.5625;0.9715061;0.16666667;0.5817817449569702;0.3695736554115592;0.7907907907907907;0.08811569213867188;0.39285714285714285;0.89162564;0.5555556;0.97837836;0.18518518
2;0.1074131429195404;0.5769217610359192;0.5268259654727719;0.8491548989061427;0.5432098765432098;0.8436406;0.6666667;0.98100406;0.17283951;0.5632632374763489;0.39378332321571285;0.7871871871871873;0.08645900338888168;0.4074074074074074;0.8872549;0.5;0.97837836;0.14814815
3;0.1005682721734047;0.6542162895202637;0.5674861251826411;0.8582005795936144;0.5636363636363636;0.8703704;0.64044946;0.95658076;0.35185185;0.6635635495185852;0.4676778378962033;0.8178178178178178;0.08309944719076157;0.4444444444444444;0.91237116;0.5555556;0.9567568;0.37037036
4;0.09510951489210129;0.7218788266181946;0.6153900019893637;0.8670536207849642;0.5925925925925926;0.8962386;0.640625;0.9375848;0.50617284;0.7002002000808716;0.5112476518955522;0.8212212212212211;0.08454272150993347;0.48148148148148145;0.92391306;0.4642857;0.9189189;0.4814815
5;0.09138023853302002;0.6888453364372253;0.6388366328255558;0.8862338140945106;0.6049382716049383;0.8825;0.68686867;0.9579376;0.41975307;0.6712712645530701;0.521777816886275;0.8216216216216217;0.08189669996500015;0.48148148148148145;0.91534394;0.47826087;0.9351351;0.4074074
6;0.08844273537397385;0.6946454644203186;0.6529963659048852;0.8901117309077509;0.6111111111111112;0.8841843;0.71875;0.963365;0.42592594;0.6793793439865112;0.5501093972143419;0.8226226226226226;0.08091858774423599;0.4827586206896552;0.9166667;0.55;0.95135134;0.4074074
7;0.08876091986894608;0.7449076175689697;0.6676680148074232;0.8960500527664708;0.6153846153846154;0.90596026;0.6319444;0.9280868;0.5617284;0.7002002000808716;0.5504508951949643;0.8268268268268268;0.0844830647110939;0.48148148148148145;0.92391306;0.4642857;0.9189189;0.4814815
8;0.08767234534025192;0.7252039909362793;0.6985523844398122;0.9074576611890045;0.6419753086419753;0.89580685;0.71428573;0.95658076;0.49382716;0.6897897720336914;0.5676212324793815;0.8366366366366367;0.07838453352451324;0.48148148148148145;0.92021275;0.5;0.9351351;0.44444445
9;0.08271300792694092;0.6973591446876526;0.7156934475557174;0.9179355746519925;0.6626506024096386;0.88475835;0.75;0.9687924;0.42592594;0.6635635495185852;0.5806140588755285;0.8496496496496496;0.07593247294425964;0.48148148148148145;0.91237116;0.5555556;0.9567568;0.37037036
10;0.08434823155403137;0.7584761381149292;0.7405172041595143;0.9230530847446269;0.6790123456790124;0.9083871;0.733871;0.95522386;0.5617284;0.7110110521316528;0.5754645902582372;0.8496496496496496;0.07702378183603287;0.5;0.9255319;0.5416667;0.94054055;0.4814815
11;0.08068113029003143;0.767056941986084;0.7545131868890136;0.9288322696282896;0.7055214723926381;0.9118028;0.734375;0.953867;0.5802469;0.6924924850463867;0.5703197831488671;0.8506506506506506;0.07690300047397614;0.5;0.9206349;0.5217391;0.94054055;0.44444445
12;0.07768871635198593;0.803109884262085;0.7648920145691337;0.9312360755146826;0.6975308641975309;0.9268617;0.72789115;0.9457259;0.66049385;0.7133133411407471;0.5885181748104478;0.8558558558558559;0.07856973260641098;0.4864864864864865;0.9281768;0.4516129;0.9081081;0.5185185
13;0.07805746048688889;0.7523032426834106;0.7581653259261119;0.9276931839120893;0.6871165644171779;0.9060489;0.7295082;0.95522386;0.5493827;0.7295295000076294;0.5529562600704663;0.8602602602602603;0.07535596936941147;0.5357142857142857;0.93048126;0.56;0.94054055;0.5185185
14;0.07944382727146149;0.7882891893386841;0.789283294837242;0.9394776956966012;0.7222222222222222;0.91937584;0.7692308;0.95929444;0.61728394;0.6924924850463867;0.5620667153341289;0.857057057057057;0.07536055147647858;0.5185185185185185;0.9206349;0.5217391;0.94054055;0.44444445
15;0.07578253000974655;0.851575493812561;0.7864373331882707;0.9372749049365965;0.7160493827160493;0.94986075;0.6961326;0.92537314;0.7777778;0.7661661505699158;0.5654815314241772;0.8700700700700701;0.08020726591348648;0.4878048780487805;0.94350284;0.4857143;0.9027027;0.6296296
16;0.07609106600284576;0.8765724897384644;0.8063728216141048;0.9445952057892356;0.7439024390243902;0.9594972;0.72677594;0.9321574;0.82098764;0.7472472190856934;0.5907438629696428;0.8558558558558559;0.08690278232097626;0.5555555555555556;0.9411765;0.4047619;0.8648649;0.6296296
17;0.07174272835254669;0.8714507818222046;0.8156788376188997;0.9462117024306079;0.7305389221556886;0.9579832;0.7135135;0.9280868;0.8148148;0.7634634971618652;0.5478031381506566;0.8556556556556556;0.08586155623197556;0.5555555555555556;0.9431818;0.4722222;0.8972973;0.6296296
18;0.07340773940086365;0.8174238204956055;0.8441467870943008;0.9550982461430223;0.7668711656441718;0.9304462;0.79562044;0.9620081;0.6728395;0.7241240739822388;0.5638200704149664;0.8602602602602603;0.07815948873758316;0.5357142857142857;0.9297297;0.5185185;0.9297297;0.5185185
19;0.06623668968677521;0.7985326051712036;0.818185452042972;0.9441764242759267;0.7592592592592593;0.9223803;0.8095238;0.96743554;0.6296296;0.7372372150421143;0.5686798611396187;0.8694694694694695;0.07618105411529541;0.5185185185185185;0.93406594;0.5;0.9189189;0.5555556
20;0.06521480530500412;0.8403856158256531;0.8607142168224496;0.9620500192639496;0.7951807228915663;0.93923384;0.8169014;0.96472186;0.7160494;0.7453453540802002;0.55433000369071;0.8652652652652653;0.0782385841012001;0.5555555555555556;0.9351351;0.5555556;0.9351351;0.5555556
21;0.06484963744878769;0.8084702491760254;0.8589709559038505;0.9590431679983918;0.7901234567901234;0.92607003;0.8203125;0.9687924;0.6481481;0.7453453540802002;0.5206816643969758;0.8466466466466467;0.08678071945905685;0.5555555555555556;0.9351351;0.5555556;0.9351351;0.5555556
22;0.06431648135185242;0.869587242603302;0.8678637632436199;0.9623934201048628;0.7926829268292683;0.9526387;0.79375;0.95522386;0.7839506;0.7715715765953064;0.5362861554627737;0.862062062062062;0.08160040527582169;0.5555555555555556;0.94413406;0.5151515;0.91351354;0.6296296
23;0.06252256035804749;0.9013308882713318;0.8632742298522357;0.9586830158969462;0.7791411042944786;0.9727403;0.7079208;0.9199457;0.88271606;0.7364364266395569;0.5172893233280009;0.8456456456456456;0.10016646236181259;0.5483870967741935;0.939759;0.36956522;0.84324324;0.6296296
24;0.06274551898241043;0.8630416989326477;0.8858179734966393;0.9667152453222105;0.8048780487804879;0.9490617;0.8104575;0.9606513;0.7654321;0.7692692279815674;0.517009324732247;0.8582582582582583;0.08018164336681366;0.5925925925925926;0.9408602;0.61538464;0.9459459;0.5925926
25;0.062336742877960205;0.8871216177940369;0.8859020509760263;0.9659195604469236;0.7962962962962963;0.9614325;0.7745665;0.94708276;0.8271605;0.7661661505699158;0.5553687289632396;0.8656656656656656;0.09287425875663757;0.5925925925925926;0.94350284;0.4857143;0.9027027;0.6296296
26;0.060734640806913376;0.8914978504180908;0.9150963107390019;0.9735413839891452;0.8209876543209876;0.9607046;0.82608694;0.9620081;0.82098764;0.7476476430892944;0.48194481951336104;0.8564564564564564;0.08659864217042923;0.5555555555555556;0.93820226;0.47058824;0.9027027;0.5925926
27;0.06204485520720482;0.8111169338226318;0.8995332483517671;0.9720923999530965;0.8209876543209876;0.9249364;0.91150445;0.9864315;0.63580245;0.7322322130203247;0.5246002486051449;0.8526526526526526;0.0842755138874054;0.5555555555555556;0.93085104;0.5833333;0.9459459;0.5185185
28;0.051915667951107025;0.8430323004722595;0.91099055245519;0.9740020436537848;0.8333333333333334;0.93782383;0.8976378;0.9823609;0.7037037;0.7480480670928955;0.5395615460199478;0.8618618618618619;0.08962690830230713;0.5555555555555556;0.9354839;0.5769231;0.94054055;0.5555556
29;0.05758393183350563;0.8667395114898682;0.9162236802472002;0.9747390991172086;0.8363636363636363;0.94848084;0.86619717;0.9742198;0.7592593;0.7584584951400757;0.5450105114687899;0.8656656656656656;0.09479989111423492;0.5925925925925926;0.9395604;0.53333336;0.92432433;0.5925926
30;0.05995279550552368;0.9027924537658691;0.9243311159837966;0.9772266613062633;0.8404907975460123;0.96476966;0.8447205;0.9660787;0.83950615;0.7530530691146851;0.5292483076294;0.8690690690690691;0.08243812620639801;0.5925925925925926;0.9388889;0.5;0.91351354;0.5925926
31;0.06095896661281586;0.8842068910598755;0.9170198180833743;0.9776203159287736;0.845679012345679;0.9549669;0.8888889;0.9782904;0.79012346;0.7769769430160522;0.5334376871709526;0.8666666666666667;0.0844731479883194;0.5862068965517241;0.9447514;0.5483871;0.92432433;0.6296296
32;0.05398395657539368;0.8680964112281799;0.9120431035477282;0.9769837680285441;0.8271604938271605;0.9486166;0.87857145;0.97693354;0.7592593;0.7638638615608215;0.5319307655971446;0.8666666666666667;0.08947284519672394;0.5925925925925926;0.9402174;0.5714286;0.9351351;0.5925926
33;0.05507631227374077;0.8985878229141235;0.9389764275076468;0.9817327503894668;0.8719512195121951;0.96021223;0.91034484;0.9823609;0.8148148;0.7611611485481262;0.49528242787219634;0.8660660660660661;0.08509083837270737;0.5925925925925926;0.9398907;0.55172414;0.9297297;0.5925926
34;0.05595144256949425;0.8172898292541504;0.903235210493853;0.9709449386066301;0.8333333333333334;0.9272959;0.9130435;0.9864315;0.6481481;0.695195198059082;0.49362202935631305;0.8610610610610611;0.0877206102013588;0.5185185185185185;0.92105263;0.54545456;0.9459459;0.44444445
35;0.048731349408626556;0.9216166734695435;0.9450167045598146;0.9834665058545656;0.8773006134969326;0.97154474;0.8757764;0.97286296;0.8703704;0.7634634971618652;0.4958317724621112;0.8522522522522522;0.09742016345262527;0.5185185185185185;0.9431818;0.4722222;0.8972973;0.6296296
36;0.05561116710305214;0.9052004218101501;0.9381365784867399;0.9794629545873327;0.845679012345679;0.9660326;0.8404908;0.96472186;0.845679;0.7580580711364746;0.4265963020452359;0.8408408408408408;0.10327225178480148;0.5185185185185185;0.9425287;0.4473684;0.8864865;0.6296296
37;0.04846123605966568;0.9040822982788086;0.9459444251072613;0.984337571402248;0.8827160493827161;0.9627164;0.9054054;0.98100406;0.8271605;0.7638638615608215;0.5182739605923359;0.8614614614614614;0.10149482637643814;0.5925925925925926;0.9402174;0.5714286;0.9351351;0.5925926
