epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.6890807151794434;0.25583982;0.1403235524431568;0.39064777124478617;0.18100558659217877;0.7328767;0.16334662;0.14518318;0.7592593;0.24056605;0.12065878510917329;0.49329329329329324;0.8255339860916138;0.15730337078651685;0.8333333;0.11931818;0.16216215;0.7777778
1;0.6283072233200073;0.32480535;0.14667956061029502;0.4178769452401293;0.1836734693877551;0.7462121;0.1496063;0.26729986;0.58641976;0.3490566;0.13531584908117708;0.5311311311311312;1.0885734558105469;0.1875;0.8730159;0.12751678;0.2972973;0.7037037
2;0.5858320593833923;0.42491657;0.15344457886717294;0.4468985041124345;0.18487394957983194;0.7849741;0.1539961;0.4111262;0.48765433;0.504717;0.14379551797708917;0.5663663663663663;0.9610356092453003;0.2073170731707317;0.90816325;0.15789473;0.48108107;0.6666667
3;0.5662788152694702;0.3971079;0.14948275493985558;0.42673836206174515;0.18329466357308585;0.7671233;0.14419475;0.37991858;0.47530866;0.4811321;0.1390015531108023;0.5523523523523524;1.0155383348464966;0.18333333333333332;0.9120879;0.1570248;0.44864866;0.7037037
4;0.561428427696228;0.57285875;0.16268361783802684;0.4626530646431144;0.18479880774962743;0.8069565;0.1574074;0.62957937;0.3148148;0.6650943;0.14343277722833578;0.5647647647647647;0.7784253358840942;0.20833333333333334;0.9130435;0.2027027;0.68108106;0.5555556
5;0.5420674085617065;0.42157954;0.15711183149455937;0.45130408563244384;0.1847206385404789;0.7774936;0.1476378;0.41248304;0.46296296;0.5188679;0.14286048941262847;0.5615615615615616;1.1226799488067627;0.19753086419753085;0.9108911;0.16216215;0.4972973;0.6666667
6;0.553311824798584;0.42380422;0.155025262471489;0.4347622158567433;0.18358038768529075;0.7744361;0.144;0.4192673;0.44444445;0.5377358;0.15046591228867373;0.5741741741741742;1.0508664846420288;0.20512820512820512;0.9142857;0.1682243;0.51891893;0.6666667
7;0.539775550365448;0.41045606;0.1559273737755663;0.4436236326783591;0.18401937046004843;0.7804878;0.15283018;0.39077342;0.5;0.49056605;0.1466083375085958;0.5701701701701701;1.1179496049880981;0.22727272727272727;0.9052632;0.15384616;0.46486485;0.6666667
8;0.5216997265815735;0.4705228;0.15132879523138687;0.43662998140610076;0.1839080459770115;0.78064513;0.13824885;0.49253732;0.37037036;0.5660377;0.1377187897799134;0.5547547547547547;1.08852219581604;0.17857142857142858;0.91150445;0.17171717;0.55675673;0.6296296
9;0.5152298212051392;0.37931034;0.14514207690405426;0.4130107040554802;0.18492343934040048;0.756447;0.14;0.35820895;0.47530866;0.4528302;0.13339340072297448;0.5403403403403403;1.3664448261260986;0.1724137931034483;0.8965517;0.144;0.42162162;0.6666667
10;0.5263824462890625;0.44160178;0.1497224786038301;0.4223830343233328;0.1823329558323896;0.7713626;0.13519314;0.4531886;0.3888889;0.5377358;0.13974619150686024;0.5553553553553553;1.164575219154358;0.18181818181818182;0.9142857;0.1682243;0.51891893;0.6666667
11;0.5073214173316956;0.46607342;0.1498303312443085;0.4294353150074543;0.18287037037037038;0.7824176;0.1418919;0.48303935;0.3888889;0.5613208;0.13867706137896338;0.554954954954955;1.1615866422653198;0.18181818181818182;0.91818184;0.1764706;0.54594594;0.6666667
12;0.512420117855072;0.40711904;0.14707712343047566;0.42208988726401664;0.18213058419243985;0.7670157;0.14119923;0.39755768;0.45061728;0.4811321;0.13693059668667093;0.5453453453453453;1.2003576755523682;0.1839080459770115;0.9032258;0.15126051;0.45405406;0.6666667
13;0.520717978477478;0.49610677;0.15113571742219806;0.43537363686617425;0.18193384223918574;0.7921811;0.14769976;0.52238804;0.37654322;0.5849057;0.14008886618867566;0.5551551551551551;0.9422091245651245;0.2;0.90756303;0.17204301;0.5837838;0.5925926
14;0.5154035091400146;0.41268075;0.15029209583156145;0.4303901368577986;0.18274111675126903;0.7771883;0.14942528;0.39755768;0.4814815;0.4764151;0.14086825421866517;0.5551551551551551;1.1930984258651733;0.19318181818181818;0.90217394;0.15;0.44864866;0.6666667
15;0.5039147138595581;0.38375974;0.14633277469098305;0.41799420406385585;0.18141097424412095;0.76521736;0.14620939;0.35820895;0.5;0.46698114;0.13747399434543817;0.5459459459459459;1.2823495864868164;0.19117647058823528;0.90909094;0.15322581;0.43243244;0.7037037
16;0.5047000646591187;0.44048944;0.14543721681907848;0.4217046082717724;0.18193384223918574;0.7759434;0.14105263;0.44640434;0.41358024;0.509434;0.1387699331599403;0.5537537537537538;1.3364536762237549;0.19444444444444445;0.90909094;0.15929204;0.4864865;0.6666667
17;0.506872296333313;0.49499443;0.14880772758752558;0.4319982578689046;0.1821705426356589;0.78701824;0.14039409;0.5264586;0.35185185;0.5707547;0.13168245414300583;0.5345345345345345;1.1358487606048584;0.1896551724137931;0.9122807;0.1734694;0.56216216;0.6296296
18;0.5083849430084229;0.39377084;0.14831259393252896;0.42949394441931754;0.1826309067688378;0.7790698;0.15495495;0.36363637;0.5308642;0.4245283;0.13935666722037723;0.5509509509509509;1.4427430629730225;0.18461538461538463;0.8888889;0.13740458;0.38918918;0.6666667
19;0.49275827407836914;0.46718577;0.14558769528468213;0.42024724860545754;0.1814621409921671;0.77922076;0.13729978;0.48846677;0.37037036;0.5566038;0.12920665215511576;0.5205205205205204;1.1780723333358765;0.1896551724137931;0.9026549;0.16161616;0.55135137;0.5925926
20;0.5089055895805359;0.4204672;0.15161488336108644;0.4370990167010067;0.18040089086859687;0.7842105;0.15414259;0.40434194;0.49382716;0.4764151;0.1338321170031502;0.5363363363363363;1.2751007080078125;0.1864406779661017;0.90217394;0.15;0.44864866;0.6666667
21;0.480910986661911;0.38375974;0.14859988259279883;0.42900815786387925;0.18241469816272965;0.776435;0.15492958;0.34871098;0.54320985;0.41037735;0.1321260583467713;0.5191191191191191;1.4943222999572754;0.17647058823529413;0.88461536;0.13432837;0.37297297;0.6666667
