epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.5468090176582336;0.59844273;0.34195598061074206;0.7301790709750909;0.3719512195121951;0.92533934;0.2822757;0.5549525;0.7962963;0.5801887;0.2894292575959668;0.7671671671671672;1.1021994352340698;0.3157894736842105;0.9528302;0.20754717;0.54594594;0.8148148
1;0.3655894994735718;0.8409344;0.5299380988112533;0.8397741930080239;0.5460122699386503;0.8949468;0.56462586;0.91316146;0.5123457;0.8349057;0.35516240981990843;0.8154154154154154;0.40132030844688416;0.4074074074074074;0.9120879;0.36666667;0.8972973;0.4074074
2;0.3021987974643707;0.8375973;0.5326136305378525;0.837705412332278;0.5548780487804879;0.88526726;0.56060606;0.92130256;0.45679012;0.8443396;0.3024510011679026;0.8110110110110109;0.390105664730072;0.4074074074074074;0.9175824;0.4;0.9027027;0.44444445
3;0.2670704126358032;0.84760845;0.5454023488683274;0.8401343451094694;0.5308641975308642;0.8537736;0.74509805;0.9823609;0.2345679;0.8632075;0.30522395423451365;0.807007007007007;0.36478105187416077;0.4074074074074074;0.89;0.41666666;0.96216214;0.18518518
4;0.24486055970191956;0.85984427;0.6267201963467958;0.8578906812737659;0.5670731707317073;0.86153847;0.8333333;0.9877883;0.2777778;0.8632075;0.38815478798582426;0.7997997997997998;0.339297354221344;0.3793103448275862;0.8939394;0.42857143;0.9567568;0.22222222
5;0.22762641310691833;0.8509455;0.6532009121903918;0.8673718947350787;0.5705521472392638;0.8509895;0.85;0.9918589;0.20987654;0.8679245;0.4216061716655131;0.826026026026026;0.3162729740142822;0.4444444444444444;0.89447236;0.46153846;0.96216214;0.22222222
6;0.21789990365505219;0.8676307;0.6918646372561038;0.8832772166105499;0.6257668711656442;0.9033943;0.6616541;0.93894166;0.54320985;0.8490566;0.4384246105332055;0.8202202202202202;0.3639199733734131;0.48148148148148145;0.92265195;0.41935483;0.9027027;0.4814815
7;0.21827076375484467;0.8720801;0.6882883979041762;0.8809571670268187;0.5987654320987654;0.8783455;0.8051948;0.9796472;0.38271606;0.8773585;0.4619996226353379;0.8272272272272272;0.3284551799297333;0.48148148148148145;0.9119171;0.5263158;0.95135134;0.37037036
8;0.2188836634159088;0.86206895;0.6830497110865419;0.8866944737591504;0.6204819277108434;0.86101294;0.88;0.9918589;0.27160493;0.8726415;0.4334347972778271;0.8232232232232232;0.3356844484806061;0.4444444444444444;0.895;0.5;0.96756756;0.22222222
9;0.2049798220396042;0.8698554;0.7131689008089566;0.8946764494028175;0.6481481481481481;0.86904764;0.88135594;0.99050206;0.32098764;0.8679245;0.41674008496924997;0.817017017017017;0.31420961022377014;0.4642857142857143;0.89847714;0.46666667;0.9567568;0.25925925
10;0.20467038452625275;0.8731924;0.7241667425379648;0.8952041141095868;0.6172839506172839;0.87484956;0.85294116;0.9864315;0.3580247;0.8773585;0.45093219046571775;0.8234234234234235;0.34207668900489807;0.4482758620689655;0.9119171;0.5263158;0.95135134;0.37037036
11;0.19958794116973877;0.8698554;0.705442674273435;0.8994421830242726;0.6441717791411042;0.9223433;0.6363636;0.9185889;0.6481481;0.8160377;0.40896042929148346;0.8192192192192193;0.4441642463207245;0.4642857142857143;0.92941177;0.35714287;0.85405403;0.5555556
12;0.20236706733703613;0.87986654;0.7214798097776002;0.9005058880680771;0.6625766871165644;0.8858896;0.8214286;0.9796472;0.42592594;0.8773585;0.4877483369474389;0.8276276276276275;0.33456751704216003;0.4827586206896552;0.9162304;0.52380955;0.9459459;0.4074074
13;0.19673317670822144;0.8898776;0.7572289092878918;0.9080690821984355;0.6606060606060606;0.9027778;0.7943925;0.9701493;0.52469134;0.8820755;0.4873530958942751;0.827027027027027;0.3625909090042114;0.48148148148148145;0.9255319;0.5416667;0.94054055;0.4814815
14;0.2014014571905136;0.8754171;0.7511563180550456;0.9125165418697757;0.6728395061728395;0.92749655;0.64880955;0.9199457;0.6728395;0.8160377;0.45013842005024457;0.8214214214214214;0.4046016335487366;0.4482758620689655;0.9244186;0.35;0.85945946;0.5185185
15;0.18386395275592804;0.89432704;0.7727011858314115;0.9186726301154162;0.6851851851851852;0.9168831;0.7596899;0.9579376;0.60493827;0.8632075;0.5364575819262544;0.8226226226226225;0.37025290727615356;0.4838709677419355;0.9285714;0.46666667;0.91351354;0.5185185
