epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;1.208167552947998;0.2880979;0.21050973868685796;0.5274301891217315;0.20185185185185187;0.88188976;0.1904145;0.15196744;0.9074074;0.24528302;0.13566211553531032;0.4876876876876876;0.7252041101455688;0.16666666666666666;1.0;0.14438502;0.13513513;1.0
1;1.18010675907135;0.30367073;0.2206211298257464;0.547648960584284;0.21604938271604937;0.89361703;0.1939314;0.17096336;0.9074074;0.24528302;0.14218467395770903;0.5091091091091091;0.7337594628334045;0.17777777777777778;0.962963;0.14054054;0.14054054;0.962963
2;1.1616204977035522;0.39043382;0.2393986408455175;0.5733998358376468;0.24074074074074073;0.85393256;0.19462025;0.3093623;0.7592593;0.3254717;0.1436106398554038;0.5115115115115114;0.6982114315032959;0.1951219512195122;0.85;0.118421055;0.27567568;0.6666667
3;1.082048773765564;0.43159065;0.22887100449445869;0.5751964085297419;0.22699386503067484;0.8668831;0.20473774;0.3622795;0.74691355;0.38207546;0.14569054353370076;0.5335335335335335;0.7911774516105652;0.18518518518518517;0.8857143;0.13380282;0.33513513;0.7037037
4;1.010178565979004;0.78976643;0.24638731977695766;0.5943849774695545;0.2532188841201717;0.8301205;0.3043478;0.9348711;0.12962963;0.8207547;0.16168655118223227;0.5333333333333332;0.5427361726760864;0.21875;0.8769231;0.1764706;0.92432433;0.11111111
5;1.0106490850448608;0.5038932;0.23295696825792236;0.5885136606529642;0.24043715846994534;0.8523002;0.20781893;0.47761193;0.6234568;0.48584905;0.15738837688893467;0.5587587587587587;0.7465029358863831;0.20454545454545456;0.8958333;0.14655173;0.46486485;0.6296296
6;0.9811497330665588;0.49944383;0.2319517747794057;0.5923580749451396;0.24342105263157895;0.854321;0.20850202;0.46947083;0.63580245;0.4764151;0.16355133620270035;0.5647647647647647;0.7278836369514465;0.20454545454545456;0.89361703;0.1440678;0.45405406;0.6296296
7;0.9881255030632019;0.44605118;0.22699833055766022;0.579970517781463;0.22740524781341107;0.8676923;0.20731707;0.3826323;0.7345679;0.38679245;0.14759721925509078;0.5479479479479479;0.7116169929504395;0.17567567567567569;0.8767123;0.1294964;0.34594595;0.6666667
8;0.9887129068374634;0.4204672;0.235687878009093;0.587232189222239;0.23389830508474577;0.86734694;0.20330578;0.34599727;0.7592593;0.36320755;0.14264944531918455;0.5511511511511512;0.7248644828796387;0.1724137931034483;0.9032258;0.14;0.3027027;0.7777778
9;0.9273608922958374;0.4560623;0.25239053207399914;0.6094359850578757;0.27419354838709675;0.8712575;0.21061946;0.39484397;0.7345679;0.4009434;0.16961318892616978;0.5944944944944944;0.7711576819419861;0.2413793103448276;0.8918919;0.13768116;0.35675675;0.7037037
10;0.9620182514190674;0.46718577;0.24773633018465355;0.6059768497579443;0.2702702702702703;0.87283236;0.21338156;0.40976933;0.72839504;0.41037735;0.16546249182878198;0.5913913913913913;0.7852747440338135;0.24324324324324326;0.8947368;0.13970588;0.36756757;0.7037037
11;0.9183142781257629;0.55172414;0.25924060513336583;0.6167562859105147;0.3072289156626506;0.85531914;0.21911421;0.54545456;0.5802469;0.5377358;0.16147853551495525;0.5823823823823824;0.6486755013465881;0.25;0.89908254;0.1553398;0.5297297;0.5925926
12;0.9243675470352173;0.5684093;0.2473997091260559;0.6026852270633365;0.2768361581920904;0.85252523;0.22029702;0.5725916;0.5493827;0.5188679;0.14386290303732902;0.5517517517517516;0.672218382358551;0.2222222222222222;0.88785046;0.14285715;0.5135135;0.5555556
