epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.401875257;0.86489254;0.218757257;0.635231905;0.245319251;0.86489254;nan;1;0;0.8655462;0.216214853;0.628863851;0.382978499;0.262672811;0.8655462;nan;1;0
1;0.390711784;0.865029;0.239432596;0.652657402;0.265151515;0.86501056;1;1;0.001010101;0.8658575;0.227566072;0.640963982;0.384215504;0.261574074;0.8658157;1;1;0.002314815
2;0.387903005;0.86489254;0.252009969;0.670746538;0.277272727;0.86489254;nan;1;0;0.8655462;0.232315884;0.657570551;0.377408683;0.255760369;0.8655462;nan;1;0
3;0.383396;0.8649608;0.267502556;0.6790725;0.299494949;0.86520076;0.54545456;0.99960554;0.003030303;0.8661687;0.238868299;0.664273609;0.378024518;0.273148148;0.86608535;1;1;0.00462963
4;0.379258513;0.865029;0.261985786;0.683259996;0.289393939;0.86605984;0.52272725;0.99834317;0.011616162;0.86647993;0.239832248;0.664641516;0.37637803;0.275784753;0.8665835;0.8;0.9996404;0.009259259
5;0.378422797;0.86489254;0.276795894;0.68815807;0.326653307;0.86499214;0.5;0.9998422;0.001010101;0.8658575;0.241356109;0.659847077;0.376004726;0.272357724;0.8658157;1;1;0.002314815
6;0.37488845;0.8650972;0.271232668;0.686558146;0.308660624;0.86526906;0.6363636;0.9996844;0.003535354;0.8661687;0.236509862;0.661715743;0.375295043;0.286681716;0.86608535;1;1;0.00462963
7;0.371846199;0.86530197;0.292444106;0.716102305;0.336345382;0.866297;0.5625;0.99834317;0.013636364;0.8661687;0.253078898;0.675812724;0.375601113;0.298611111;0.867229;0.5833333;0.9982021;0.016203703
8;0.370032549;0.8654384;0.300331987;0.725947622;0.333333333;0.8655646;0.75;0.9996844;0.006060606;0.8667912;0.254037476;0.676983865;0.371886849;0.301369863;0.86662513;1;1;0.009259259
9;0.367207915;0.8657796;0.295479132;0.711621063;0.329507413;0.867014;0.5970149;0.99786985;0.02020202;0.865235;0.242793914;0.655419713;0.379241318;0.273148148;0.8671044;0.46666667;0.99712336;0.016203703
10;0.367078334;0.86537015;0.298337942;0.727615863;0.323761;0.86550546;0.73333335;0.9996844;0.005555556;0.8667912;0.25258571;0.684282066;0.369267404;0.271457086;0.86662513;1;1;0.009259259
11;0.363012403;0.8652337;0.301574228;0.733434025;0.330661323;0.8664383;0.54545456;0.9980276;0.015151516;0.865235;0.256543849;0.687694774;0.370835871;0.28685259;0.866875;0.46153846;0.9974829;0.013888889
12;0.365617901;0.8659161;0.294493889;0.710143207;0.326767677;0.86794007;0.57425743;0.9966075;0.02929293;0.8646125;0.253510278;0.682102927;0.373902768;0.292906178;0.86702126;0.4117647;0.9964042;0.016203703
